學校代碼,學校名稱,學制分類,縣市,區,科系與名額,最低錄取分數,分數年度,分數來源備註,資料性質
064328,臺中市立新社高級中學,高中,臺中市,新社區,普通科:130(不限)；農場經營科(產特):30(不限)；園藝科(產特):29(不限)；商業經營科:33(不限)；資料處理科:30(不限),4B1C3+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064336,臺中市立長億高級中學,高中,臺中市,太平區,普通科:195(不限),1A4B5+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064342,臺中市立中港高級中學,高中,臺中市,梧棲區,普通科:198(不限),5B7+作文4級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064350,臺中市立龍津高級中等學校,高中,臺中市,龍井區,普通科:118(不限),5B3+作文3級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
064B08,臺中市立后綜高級中學進修部,高中,臺中市,后里區,普通科(夜間班):25(不限),4B1C8+作文3級分,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
080305,國立中興高級中學,高中,南投縣,南投市,普通科:350(不限),89 (60),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
080308,國立暨南國際大學附屬高級中學,高中,南投縣,埔里鎮,綜合高中:198(不限)；商業經營科:24(不限)；國際貿易科:26(不限)；資料處理科:27(不限)；電子商務科:23(不限),83 (28),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
080410,國立水里高級商工職業學校,技高,南投縣,水里鄉,普通科:26(不限)；資訊科:30(不限)；電機科:24(不限)；商業經營科:29(不限)；觀光事業科:28(不限)；餐飲管理科:16(不限)；應用日語科:27(不限),83 (28),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
080B05,國立中興高級中學進修部,高中,南投縣,南投市,商業經營科(夜間班):38(不限)；資料處理科(夜間班):38(不限),89 (60),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
080B08,國立暨南國際大學附屬高級中學進修部,高中,南投縣,埔里鎮,商業經營科(夜間班):18(不限)；資料處理科(夜間班):18(不限),83 (28),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,非官方整理
