district,district_label,school_code,school_name,admission_track,program,address,website
taoyuan-lienchiang,桃連區,034319,市立平鎮高中,桃連區日間部,高中,桃園市平鎮區環南路三段100號,https://www.pjhs.tyc.edu.tw/
taoyuan-lienchiang,桃連區,034332,市立觀音高中,桃連區日間部,高中,桃園市觀音區新坡里中山路2段519號,http://www.gish.tyc.edu.tw
taoyuan-lienchiang,桃連區,034335,市立新屋高中,桃連區日間部,高中,桃園市新屋區中興路111號,https://www.swjh.tyc.edu.tw/
taoyuan-lienchiang,桃連區,034347,市立永豐高中,桃連區日間部,高中,桃園市八德區永豐路609號,http://www.yfms.tyc.edu.tw
taoyuan-lienchiang,桃連區,034348,市立羅浮高中,桃連區日間部,高中,桃園市復興區羅浮里3鄰18號,https://www.lfsh.tyc.edu.tw/home
taoyuan-lienchiang,桃連區,034399,市立大園國際高中,桃連區日間部,高中,桃園市大園區大成路二段8號,http://www.dysh.tyc.edu.tw
taoyuan-lienchiang,桃連區,031301,桃園市路亞國際高中,桃連區日間部,高中,桃園市龍潭區中正路佳安段448號,https://www.lysh.tyc.edu.tw
taoyuan-lienchiang,桃連區,031309,桃園市育達高中,桃連區日間部,技術型高中,桃園市平鎮區育達路160號,https://www.yuda.tyc.edu.tw/main
taoyuan-lienchiang,桃連區,031310,私立六和高中,桃連區日間部,技術型高中,桃園市平鎮區陸光路180號,https://www.lioho.tw/ischool/publish_page/0/
taoyuan-lienchiang,桃連區,031311,桃園市復旦高中,桃連區日間部,高中,桃園市平鎮區復旦路二段122號,https://www.fdhs.tyc.edu.tw/school.htm
taoyuan-lienchiang,桃連區,031312,桃園市治平高中,桃連區日間部,技術型高中,桃園市楊梅區中興路137號,http://www.cpshs.tyc.edu.tw/home
taoyuan-lienchiang,桃連區,031313,桃園市振聲高中,桃連區日間部,技術型高中,桃園市桃園區復興路439號,https://www.fxsh.tyc.edu.tw/home
taoyuan-lienchiang,桃連區,031317,私立光啟高中,桃連區日間部,技術型高中,桃園市龜山區自由街40號,http://www.phsh.tyc.edu.tw
taoyuan-lienchiang,桃連區,031318,桃園市啟英高中,桃連區日間部,技術型高中,桃園市中壢區中園路447號,http://web.cyvs.tyc.edu.tw/html/
taoyuan-lienchiang,桃連區,031319,桃園市清華高中,桃連區日間部,技術型高中,桃園市新屋區中華路658號,http://www.chvs.tyc.edu.tw
taoyuan-lienchiang,桃連區,031320,桃園市新興高中,桃連區日間部,技術型高中,桃園市八德區永豐路563號,http://www.hshs.tyc.edu.tw
taoyuan-lienchiang,桃連區,031323,私立至善高中,桃連區日間部,高中,桃園市大溪區康莊路645號,http://www.tzsavs.tyc.edu.tw
taoyuan-lienchiang,桃連區,031324,桃園市大興高中,桃連區日間部,技術型高中,桃園市大園區永興路142號,https://www.dxhs.tyc.edu.tw/home
taoyuan-lienchiang,桃連區,031326,私立大華高中,桃連區日間部,高中,桃園市楊梅區三民路二段200號,http://www.thsh.tyc.edu.tw
taoyuan-lienchiang,桃連區,031414,桃園市世紀綠能工商,桃連區日間部,技術型高中,桃園市龜山區明德路162巷100號,https://web.cgehs.tyc.edu.tw/
taoyuan-lienchiang,桃連區,031415,私立方曙商工,桃連區日間部,技術型高中,桃園市龍潭區中原路一段50號,https://www.fsvs.tyc.edu.tw/home
taoyuan-lienchiang,桃連區,031421,私立永平工商,桃連區日間部,技術型高中,桃園市楊梅區永平路480號,https://www.ypvs.tyc.edu.tw/
taoyuan-lienchiang,桃連區,013303,市立泰山高中,桃連區共同就學區（基北區）,高中,新北市泰山區辭修路7號,http://www.tssh.ntpc.edu.tw
taoyuan-lienchiang,桃連區,013337,市立新莊高中,桃連區共同就學區（基北區）,高中,新北市新莊區中平路135號,http://www.hcsh.ntpc.edu.tw
taoyuan-lienchiang,桃連區,013339,市立林口高中,桃連區共同就學區（基北區）,高中,新北市林口區仁愛路二段173號,http://www.lksh.ntpc.edu.tw
taoyuan-lienchiang,桃連區,014322,市立樹林高中,桃連區共同就學區（基北區）,高中,新北市樹林區中華路8號,http://www.slsh.ntpc.edu.tw
taoyuan-lienchiang,桃連區,014353,市立丹鳳高中,桃連區共同就學區（基北區）,高中,新北市新莊區龍安路72號,http://www.dfsh.ntpc.edu.tw/
taoyuan-lienchiang,桃連區,014439,市立鶯歌工商,桃連區共同就學區（基北區）,技術型高中,新北市鶯歌區中正三路154號,http://www.ykvs.ntpc.edu.tw
taoyuan-lienchiang,桃連區,011310,財團法人恆毅高中,桃連區共同就學區（基北區）,技術型高中,新北市新莊區中正路108號,http://www.hchs.ntpc.edu.tw
taoyuan-lienchiang,桃連區,011317,私立醒吾高中,桃連區共同就學區（基北區）,技術型高中,新北市林口區粉寮路一段75巷80號,http://www.swsh.ntpc.edu.tw
taoyuan-lienchiang,桃連區,011330,新北市林口康橋國際高中,桃連區共同就學區（基北區）,高中,新北市林口區興林路55號,https://web.kcislk.ntpc.edu.tw/
taoyuan-lienchiang,桃連區,011405,私立樹人家商,桃連區共同就學區（基北區）,技術型高中,新北市樹林區大安路216號,http://www.stgvs.ntpc.edu.tw
taoyuan-lienchiang,桃連區,040304,國立關西高中,桃連區共同就學區（竹苗區）,技術型高中,新竹縣關西鎮東安里中山東路2號,https://www.khsh.hcc.edu.tw/
taoyuan-lienchiang,桃連區,044320,縣立湖口高中,桃連區共同就學區（竹苗區）,技術型高中,新竹縣湖口鄉達生路601號,https://hkhs.hcc.edu.tw
taoyuan-lienchiang,桃連區,041307,私立仰德高中,桃連區共同就學區（竹苗區）,技術型高中,新竹縣新豐鄉員山133號,http://www.ydvs.hcc.edu.tw/
taoyuan-lienchiang,桃連區,041401,私立內思高工,桃連區共同就學區（竹苗區）,技術型高中,新竹縣新埔鎮楊新路一段40號,http://www.savs.hcc.edu.tw
hsinchu-miaoli,竹苗區,040302,國立竹東高中,竹苗區學校名錄,普通科／進修部,新竹縣竹東鎮大林路2號,
hsinchu-miaoli,竹苗區,040304,國立關西高中,竹苗區學校名錄,專業群科,新竹縣關西鎮東安里中山東路2號,
hsinchu-miaoli,竹苗區,040308,國立陽明交大附中,竹苗區學校名錄,普通科／專業群科,新竹縣竹北市中央路3號,
hsinchu-miaoli,竹苗區,041303,私立義民高中,竹苗區學校名錄,普通科／專業群科／進修部／實用技能學程,新竹縣竹北市中正西路15號,
hsinchu-miaoli,竹苗區,041305,私立忠信高中,竹苗區學校名錄,普通科,新竹縣新豐鄉忠信街178號,
hsinchu-miaoli,竹苗區,041306,私立東泰高中,竹苗區學校名錄,普通科／專業群科／進修部／實用技能學程,新竹縣竹東鎮東峰路343號,
hsinchu-miaoli,竹苗區,041307,私立仰德高中,竹苗區學校名錄,進修部／專業群科／實用技能學程,新竹縣新豐鄉員山133號,
hsinchu-miaoli,竹苗區,041401,私立內思高工,竹苗區學校名錄,專業群科,新竹縣新埔鎮楊新路㇐段40號,
hsinchu-miaoli,竹苗區,044311,新竹縣立六家高級中學,竹苗區學校名錄,普通科,新竹縣竹北市嘉興路356號,
hsinchu-miaoli,竹苗區,044320,新竹縣立湖口高中,竹苗區學校名錄,普通科／專業群科,新竹縣湖口鄉達生路601號,
hsinchu-miaoli,竹苗區,050303,國立苗栗高中,竹苗區學校名錄,普通科,苗栗縣苗栗市至公路183號,
hsinchu-miaoli,竹苗區,050310,國立竹南高中,竹苗區學校名錄,普通科／專業群科,苗栗縣竹南鎮中正路98號,
hsinchu-miaoli,竹苗區,050314,國立卓蘭高中,竹苗區學校名錄,普通科／專業群科／進修部,苗栗縣卓蘭鎮老庄161號,
hsinchu-miaoli,竹苗區,050315,國立苑裡高中,竹苗區學校名錄,普通科,苗栗縣苑裡鎮育才街100號,
hsinchu-miaoli,竹苗區,050401,國立大湖農工,竹苗區學校名錄,專業群科／實用技能學程,苗栗縣大湖鄉大寮村竹高屋68號,
hsinchu-miaoli,竹苗區,050404,國立苗栗農工,竹苗區學校名錄,專業群科／實用技能學程,苗栗縣苗栗市經國路二段491號,
hsinchu-miaoli,竹苗區,050407,國立苗栗高商,竹苗區學校名錄,進修部／專業群科,苗栗縣苗栗市電台街7號,
hsinchu-miaoli,竹苗區,051302,私立君毅高中,竹苗區學校名錄,普通科／專業群科／進修部／實用技能學程,苗栗縣竹南鎮公義路245號,
hsinchu-miaoli,竹苗區,051306,私立建臺高中,竹苗區學校名錄,普通科,苗栗縣苗栗市福麗里至公路251號,
hsinchu-miaoli,竹苗區,051307,私立全人實驗高中,竹苗區學校名錄,普通科,苗栗縣卓蘭鎮內灣141之3號,
hsinchu-miaoli,竹苗區,051408,私立中興商工,竹苗區學校名錄,專業群科／進修部／實用技能學程,苗栗縣竹南鎮大營路211號,
hsinchu-miaoli,竹苗區,051413,私立龍德家商,竹苗區學校名錄,專業群科／實用技能學程,苗栗縣苑裡鎮房裡里南房75之1號,
hsinchu-miaoli,竹苗區,054308,苗栗縣立三義高中,竹苗區學校名錄,普通科／專業群科,苗栗縣三義鄉廣盛村11鄰122號,
hsinchu-miaoli,竹苗區,054309,苗栗縣立苑裡高中,竹苗區學校名錄,普通科／專業群科,苗栗縣苑裡鎮客庄里1鄰2號,
hsinchu-miaoli,竹苗區,054317,苗栗縣立興華高中,竹苗區學校名錄,普通科／專業群科,苗栗縣頭份市中正㇐路401號,
hsinchu-miaoli,竹苗區,054333,苗栗縣立大同高中,竹苗區學校名錄,普通科,苗栗縣竹南鎮大埔里六鄰公義路890號,
hsinchu-miaoli,竹苗區,180301,國立竹科實驗高級中等學校,竹苗區學校名錄,普通科,新竹市東區介壽路300號,
hsinchu-miaoli,竹苗區,180302,國立新竹女中,竹苗區學校名錄,普通科,新竹市東區中華路二段270號,
hsinchu-miaoli,竹苗區,180309,國立新竹高中,竹苗區學校名錄,普通科,新竹市東區學府路36號,
hsinchu-miaoli,竹苗區,180403,國立新竹高商,竹苗區學校名錄,專業群科／進修部／實用技能學程,新竹市東區學府路128號,
hsinchu-miaoli,竹苗區,180404,國立新竹高工,竹苗區學校名錄,專業群科／進修部／實用技能學程,新竹市東區中華路二段2號,
hsinchu-miaoli,竹苗區,181305,私立光復高中,竹苗區學校名錄,普通科／專業群科／進修部,新竹市東區光復路二段153號,
hsinchu-miaoli,竹苗區,181306,私立曙光女中,竹苗區學校名錄,普通科／專業群科,新竹市東區北大路61號,
hsinchu-miaoli,竹苗區,181307,私立磐石高中,竹苗區學校名錄,普通科／專業群科／進修部,新竹市北區西大路683號,
hsinchu-miaoli,竹苗區,181308,私立世界高中,竹苗區學校名錄,專業群科／實用技能學程,新竹市東區光復路㇐段257號,
hsinchu-miaoli,竹苗區,183306,新竹市立成德高中,竹苗區學校名錄,普通科,新竹市北區崧嶺路128巷38號,
hsinchu-miaoli,竹苗區,183307,新竹市立香山高中,竹苗區學校名錄,普通科／進修部／專業群科,新竹市香山區元培街124號,
hsinchu-miaoli,竹苗區,183313,新竹市立建功高中,竹苗區學校名錄,普通科,新竹市東區建功二路17號,
hsinchu-miaoli,竹苗區,183314,新竹市數位實驗高中,竹苗區學校名錄,普通科,新竹市香山區延平路二段76號,
ct,中投區,050314,國立卓蘭高級中等學校,中投區免試入學日間部,高中,苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw
ct,中投區,050315,國立苑裡高級中學,中投區免試入學日間部,高中,苗栗縣苑裡鎮育才街100號,https://www.ylsh.mlc.edu.tw
ct,中投區,050401,國立大湖高級農工職業學校,中投區免試入學日間部,技高,苗栗縣大湖鄉大寮村竹高屋68號,https://www.thvs.mlc.edu.tw
ct,中投區,050B14,國立卓蘭高級中等學校進修部,中投區免試入學進修部,高中,苗栗縣卓蘭鎮老庄里161號,https://www.jlsh.mlc.edu.tw
ct,中投區,051307,全人學校財團法人苗栗縣全人實驗高級中等學校,中投區免試入學日間部,高中,苗栗縣卓蘭鎮內灣里內灣141-3號,https://holistic.org.tw
ct,中投區,051413,苗栗縣私立龍德家事商業職業學校,中投區免試入學日間部,技高,苗栗縣苑裡鎮房裡里南房75之1號,http://www.ldvs.mlc.edu.tw
ct,中投區,054308,苗栗縣立三義高級中學,中投區免試入學日間部,高中,苗栗縣三義鄉廣盛村11鄰122號,https://sjh.mlc.edu.tw
ct,中投區,054309,苗栗縣立苑裡高級中學,中投區免試入學日間部,高中,苗栗縣苑裡鎮客庄里新興路19號,https://yljh.mlc.edu.tw
ct,中投區,060322,國立中興大學附屬高級中學,中投區免試入學日間部,高中,臺中市大里區東榮路369號,https://www.dali.tc.edu.tw
ct,中投區,060323,國立中科實驗高級中學,中投區免試入學日間部,高中,臺中市大雅區平和路227號,https://www.nehs.tc.edu.tw
ct,中投區,061301,常春藤學校財團法人臺中市常春藤高級中學,中投區免試入學日間部,高中,臺中市潭子區潭興路一段165巷320號,https://www.ivyjhs.tc.edu.tw
ct,中投區,061306,臺中市明台高級中學,中投區免試入學日間部,高中,臺中市霧峰區萊園路91號,https://www.mths.tc.edu.tw
ct,中投區,061309,臺中市私立致用高級中學,中投區免試入學日間部,高中,臺中市大甲區甲東路512號,https://www.cycivs.tc.edu.tw
ct,中投區,061310,永誠學校財團法人臺中市大明高級中等學校,中投區免試入學日間部,高中,臺中市潭子區潭興路一段168號,https://www.tmsh.tc.edu.tw
ct,中投區,061313,臺中市私立明道高級中學,中投區免試入學日間部,高中,臺中市烏日區中山路一段497號,https://www.mingdao.edu.tw
ct,中投區,061314,臺中市私立僑泰高級中學,中投區免試入學日間部,高中,臺中市大里區樹王路342號,https://www.ctas.tc.edu.tw
ct,中投區,061315,臺中市華盛頓高級中學,中投區免試入學日間部,高中,臺中市太平區廍仔坑路26號,https://www.whs.tc.edu.tw
ct,中投區,061316,臺中市青年高級中學,中投區免試入學日間部,高中,臺中市大里區中湖路100號,https://www.youth.tc.edu.tw
ct,中投區,061317,臺中市私立弘文高級中學,中投區免試入學日間部,高中,臺中市潭子區弘文街100號,https://www.hwhs.tc.edu.tw
ct,中投區,061318,臺中市私立立人高級中學,中投區免試入學日間部,高中,臺中市大里區中興路二段380號,https://www.lzsh.tc.edu.tw
ct,中投區,061319,臺中市私立玉山高級中學,中投區免試入學日間部,高中,臺中市東勢區東崎路四段399號,https://www.yssh.tc.edu.tw
ct,中投區,061321,慈明學校財團法人臺中市慈明高級中等學校,中投區免試入學日間部,高中,臺中市太平區光德路388號,https://www.tmhs.tc.edu.tw
ct,中投區,061B11,嘉陽學校財團法人臺中市嘉陽高級中學進修部,中投區免試入學進修部,高中,臺中市清水區中航路三段1號,https://www.cysh.tc.edu.tw
ct,中投區,061B14,臺中市私立僑泰高級中學進修部,中投區免試入學進修部,高中,臺中市大里區樹王路342號,https://www.ctas.tc.edu.tw
